#{"t_start": 1754430355.9672458, "env_id": "None"}
r,l,t
98.58,90,97.028721
-7.21,200,97.243722
112.79,21,97.26572
102.18,15,97.281717
101.74,41,97.325717
22.9,200,97.548723
113.04,57,97.646134
104.55,16,97.668959
119.47,113,97.795961
115.63,67,97.864959
110.74,26,101.335789
123.09,141,101.508786
116.23,57,101.578788
122.24,86,101.677787
113.15,46,101.726787
111.03,28,101.757786
125.25,177,101.953786
101.54,63,102.029792
114.09,51,102.09079
29.43,200,102.30779
117.92,68,102.401906
110.27,55,102.465224
122.52,108,102.580224
-25.95,200,102.853229
28.11,200,103.056233
119.7,60,103.120226
18.76,200,103.366226
121.04,66,103.449231
117.36,74,103.543232
109.36,67,103.633224
33.42,200,103.884232
109.18,34,103.920224
5.03,200,104.132798
18.87,200,104.343799
114.98,42,104.388801
110.14,26,104.415807
108.4,11,104.427801
-44.16,200,104.701062
108.66,14,104.716059
137.02,168,104.889062
117.7,40,104.984063
-17.19,200,105.280059
107.51,20,105.300066
18.68,200,105.503065
126.75,135,105.672058
110.63,27,105.70306
112.48,32,105.742057
23.94,200,105.95106
112.69,53,106.00106
18.54,200,108.740558
109.42,71,108.828556
115.28,103,108.933558
114.65,160,109.191312
112.48,65,109.260903
116.52,68,109.328901
111.13,49,109.395568
101.53,22,109.435564
115.64,141,109.625566
36.71,200,109.877594
125.48,112,109.991599
76.86,104,110.122594
110.38,12,110.144129
114.9,63,110.230126
32.3,200,110.497126
-2.84,200,110.763126
124.58,82,110.865127
106.22,34,110.908131
3.54,200,111.140131
17.55,200,111.43138
106.88,47,111.497956
131.82,199,111.774213
115.66,34,111.818187
117.27,83,111.960191
113.01,50,112.025222
28.2,200,112.282249
112.33,38,112.354262
132.86,184,112.559255
-25.23,200,112.781183
30.02,200,113.045182
118.67,126,113.21519
122.44,97,113.352219
112.51,83,113.4632
-29.55,200,113.724021
123.67,123,113.850021
108.81,52,113.904186
118.03,58,116.563538
28.71,200,116.841538
22.06,200,117.057537
108.44,28,117.088535
111.48,32,117.123535
114.51,19,117.144542
134.23,197,117.344534
100.59,57,117.399537
-18.82,200,117.60054
121.76,124,117.731544
29.42,200,118.010955
118.27,53,118.064623
26.51,200,118.304743
24.23,200,118.524735
31.52,200,118.739742
117.81,49,118.80474
116.07,54,118.873736
113.33,28,118.910739
106.1,77,119.013738
116.52,38,119.062756
96.53,77,119.140754
107.98,23,119.164758
112.67,152,119.314757
126.47,164,119.510766
111.02,59,119.584061
127.49,91,119.677062
25.51,200,119.922632
89.4,150,120.113632
111.42,18,120.146628
18.85,200,120.463356
113.41,40,120.525357
36.9,200,120.777353
106.36,101,120.907877
107.43,51,120.962879
110.4,10,120.973873
117.7,40,121.015873
100.13,24,121.045879
82.5,138,121.186878
118.65,45,121.233877
108.38,12,121.246873
33.82,200,123.820346
104.05,71,123.903351
111.59,32,123.943351
109.23,17,123.963348
28.1,200,124.19635
30.43,200,124.399178
35.61,200,124.623189
